url,人均价格,具体位置,口味,所属商区,推荐菜,星级标准,服务,环境,类别,评论量,餐厅名称,score
http://www.dianping.com/shop/17877668,38.0,解放北路,7.6,民乐县其他,"鲜切民联羊肉,鲜切牦牛肉,山药",7,7.6,7.6,火锅,11.0,阳光德盛祥新派火锅店,6.277
http://www.dianping.com/shop/67785199,30.0,白银乡东牛毛村丹霞景区东口售票处旁,7.6,肃南裕固族自治县其他,"大漠烤羊排,毛血旺,新疆大盘鸡",7,7.6,7.6,川菜,4.0,丝路明珠美食城,6.273
http://www.dianping.com/shop/93763114,0.0,东大街国税局对面铺面,7.6,山丹县其他,"烫菜,果味醪糟,麻辣烫面",7,7.6,7.6,快餐简餐,0.0,大舌头麻辣烫面店,6.27
http://www.dianping.com/shop/92710559,0.0,宁和园十字煨鸭仔大酒店楼下,7.6,甘州区,"西湖牛肉羹,山药木耳,紫菜蛋花汤",7,7.6,7.6,川菜,0.0,尚席小厨,6.27
http://www.dianping.com/shop/23372126,0.0,南大街金城商场左侧,7.6,甘州区,"卤肉卷,孜然火腿卷,老北京烤肉卷",7,7.6,7.6,小吃面食,0.0,乐尚老北京卤肉卷(鼓楼店),6.27
http://www.dianping.com/shop/93530131,0.0,玉关路甘州中学对面麻麻香火锅楼下,7.6,甘州区,"橙汁,薯条,皇家奶茶",7,7.6,7.6,快餐简餐,0.0,艾萨屋(甘州中学店),6.27
http://www.dianping.com/shop/113086626,0.0,世纪大道龙泉花园西南,7.6,民乐县其他,,7,7.6,7.6,火锅,0.0,尚品,6.27
http://www.dianping.com/shop/43991589,0.0,玉关路321号号,7.6,甘州区,搓鱼子,7,7.6,7.6,川菜,0.0,巴坊鱼香,6.27
http://www.dianping.com/shop/92901029,0.0,民主东街二中南门旁,7.6,甘州区,"炖烧黄花鱼,家传秘制鸡,红烧猪蹄",7,7.6,7.6,西北菜,0.0,鸡味缘家传菜,6.27
http://www.dianping.com/shop/91897040,0.0,仁和大道S6号楼4号铺面,7.6,山丹县其他,"鸡肉拨鱼子,毛血旺,大盘鸡",7,7.6,7.6,小吃面食,0.0,金玉兰辣子鸡,6.27
http://www.dianping.com/shop/96236459,0.0,欧式街中段卡索对面,7.6,甘州区,"裸蛋糕,款水果乐园蛋糕,款樱桃围边水果蛋糕",7,7.6,7.6,面包/饮品,0.0,品味86度,6.27
http://www.dianping.com/shop/111814987,0.0,龙首路博兴酒店负1楼,7.6,山丹县其他,"张裕百年干红,杰克丹尼,芝华士",7,7.6,7.6,面包/饮品,0.0,博兴娱乐,6.27
http://www.dianping.com/shop/92336614,0.0,县府街盛良大厦营业厅一间,7.6,山丹县其他,"重庆小面,重庆麻辣抄手,重庆鸡杂面",7,7.6,7.6,快餐简餐,0.0,渝都小面,6.27
http://www.dianping.com/shop/91012594,0.0,长城路金街一层90号商铺90,7.6,山丹县其他,"胡辣鱿鱼汤,酸辣肚块,虎皮辣子烧茄子",7,7.6,7.6,烧烤,0.0,哎呀我烤吧,6.27
http://www.dianping.com/shop/91626355,0.0,南大街112号,7.6,甘州区,"鸭胗,牛肉干,鸡爪",7,7.6,7.6,快餐简餐,0.0,伊膳坊熟食清真店,6.27
http://www.dianping.com/shop/93069611,0.0,艾黎大道清华园小区2号楼,7.6,山丹县其他,"麻辣大鸭胗,雪花眼肉,锅底双拼",7,7.6,7.6,火锅,0.0,上鱼舫火锅店,6.27
http://www.dianping.com/shop/17187932,0.0,县府南街61号,7.6,甘州区,"牛肉炒面,酱牛肉",7,7.6,7.6,小吃面食,0.0,宝林牛肉炒面,6.27
http://www.dianping.com/shop/103640608,0.0,明清街南角楼5号,7.6,甘州区,"抹茶味冰激凌,柠檬绿茶,柠檬红茶",7,7.6,7.6,面包/饮品,0.0,曼斯雪,6.27
http://www.dianping.com/shop/102328767,0.0,北环路860号河西学院西侧,7.6,甘州区,"黑胡椒烤肉拌饭,原味烤肉拌饭,果汁",7,7.6,7.6,快餐简餐,0.0,这餐吃鸡,6.27
http://www.dianping.com/shop/97494645,0.0,玉关路338号,7.6,甘州区,"梭边鱼,鱿鱼,荤菜",7,7.6,7.6,川菜,0.0,乐江藤椒鱼,6.27
http://www.dianping.com/shop/110785836,0.0,玉关路德和苑东门对面,7.6,甘州区,"小料,串串",7,7.6,7.6,火锅,0.0,签椒火辣串串火锅,6.27
http://www.dianping.com/shop/57214288,0.0,马神庙街道188号,7.6,甘州区,"粉皮面筋,糊粕,牛肉",7,7.6,7.6,小吃面食,0.0,高财流泉粉皮面筋,6.27
http://www.dianping.com/shop/98595445,0.0,青年东街国芳百货西北,7.6,甘州区,"麻辣烤肉拌饭,孜然烤肉拌饭,黑椒烤肉拌饭",7,7.6,7.6,快餐简餐,0.0,晓萍新奥尔良烤肉拌饭,6.27
http://www.dianping.com/shop/92395488,0.0,欧式街c段号,7.6,甘州区,"烤羊肉,烤羊排,烤羊腿",7,7.6,7.6,烧烤,0.0,小马哥烤肉,6.27
http://www.dianping.com/shop/92503005,0.0,如意馨园向北300米,7.6,高台县其他,"脆皮肠砂锅,蟹肉砂锅,什锦砂锅",7,7.6,7.6,快餐简餐,0.0,九月娇麻辣烫,6.27
http://www.dianping.com/shop/94276091,0.0,艾黎大道仁和家园一楼3号商铺,7.6,山丹县其他,,7,7.6,7.6,快餐简餐,0.0,板烧厨房,6.27
http://www.dianping.com/shop/8846974,0.0,南大街153号佛城广场,7.6,甘州区,"焦糖拿铁,奶油华夫饼,棒果拿铁",7,7.6,7.6,咖啡厅,0.0,阿可汀咖啡馆,6.27
http://www.dianping.com/shop/108135929,0.0,丹霞地貌七彩镇馨怡宾馆楼下,7.6,丹霞国家地质公园,"手抓羊肉,新疆大盘鸡,蒸饼烤肉",7,7.6,7.6,快餐简餐,0.0,天香美食坊,6.27
http://www.dianping.com/shop/93999633,0.0,民主西街3号,7.6,甘州区,"羊肉汤面块,羊肉汤面片",7,7.6,7.6,烧烤,0.0,金槐烧烤,6.27
http://www.dianping.com/shop/97452676,0.0,金脉步行街,7.6,甘州区,"雪花肥牛,秘制麻辣牛肉,霸王牛肉",7,7.6,7.6,火锅,0.0,码头故事,6.27
http://www.dianping.com/shop/102131085,0.0,丹霞大道七彩宾馆2楼,7.6,临泽县其他,"小米金瓜百合粥,沙葱炒鸡蛋,牛肉拨鱼子",7,7.6,7.6,其他美食,0.0,七彩宾馆·餐饮部,6.27
http://www.dianping.com/shop/93447208,0.0,南二环路美联国际十字向东100米北侧,7.6,甘州区,"醒面,豆皮,茗茶",7,7.6,7.6,火锅,0.0,李二姐大锅台(南关店),6.27
http://www.dianping.com/shop/93301310,0.0,滨河丽景政务大厅斜对面,7.6,高台县其他,"羊排砂锅,烤牛板筋,炕锅羊排",7,7.6,7.6,烧烤,0.0,牧羊人烤羊排,6.27
http://www.dianping.com/shop/92745517,0.0,张掖丹霞地质公园主入口游客服务大厅内左侧,7.6,肃南裕固族自治县其他,"奥利奥雪冰,百香金凤鲜果茶,茉莉绿茶",7,7.6,7.6,咖啡厅,0.0,可百可可咖餐饮店,6.27
http://www.dianping.com/shop/110805564,0.0,丹霞公路华侨大酒店丹霞美食广场B1,7.6,丹霞国家地质公园,"鸡翅包饭,梦幻海洋,炸薯条",7,7.6,7.6,面包/饮品,0.0,满山红,6.27
http://www.dianping.com/shop/97715796,0.0,临泽北路天薇时代广场7号楼3层,7.6,甘州区,"手撕包菜,干煸肥肠,辣椒炒肉丝",7,7.6,7.6,西餐,0.0,隆盛假日酒店(新城店餐饮部),6.27
http://www.dianping.com/shop/79864384,0.0,马神庙街200号,7.6,甘州区,,7,7.6,7.6,快餐简餐,0.0,董记风味牛肉小饭,6.27
http://www.dianping.com/shop/110871357,0.0,213省道丹霞公园西入口东侧,7.6,丹霞国家地质公园,"油泼面,青椒肉丝,兰州拉面",7,7.6,7.6,家常菜,0.0,赵记西北油泼面馆,6.27
http://www.dianping.com/shop/62640566,0.0,213省道与G30连霍高速入口交叉口东50米,7.6,甘州区,,7,7.6,7.6,快餐简餐,0.0,私房肘子大卤面,6.27
http://www.dianping.com/shop/77283404,0.0,金阳国际A座802室,7.6,甘州区,"单品咖啡,抹茶拿铁,韩式纸杯蛋糕",7,7.6,7.6,咖啡厅,0.0,耳语咖啡工作室,6.27
http://www.dianping.com/shop/93437400,0.0,兰平公路掌上明珠家居对面,7.6,山丹县其他,"火锅菜,火锅汤,料碗",7,7.6,7.6,火锅,0.0,正宗巴蜀串串,6.27
http://www.dianping.com/shop/102085705,0.0,玉关路乾和御园北角商业楼二层,7.6,甘州区,"肋排,手抓羊肉",7,7.6,7.6,西北菜,0.0,鑫如一大酒店(乾和店),6.27
http://www.dianping.com/shop/93234626,0.0,北大街89号,7.6,甘州区,"尊品虾滑,全牛油红汤锅,酸菜锅中锅",7,7.6,7.6,火锅,0.0,坎上坎老火锅,6.27
http://www.dianping.com/shop/92578606,0.0,金张掖大道东段,7.6,甘州区,"排骨焖卷子,爆炒牦牛肉,烤羊排",7,7.6,7.6,农家菜,0.0,藏王宴舞,6.27
http://www.dianping.com/shop/69173342,15.0,迎宾中路东门盘旋路疾控中心对面,7.6,山丹县其他,"麻辣小龙虾,东乡土豆片,清炒时蔬",7,7.5,7.7,其他美食,38.0,张小厨小龙虾,6.259
http://www.dianping.com/shop/19356268,77.0,城东路润泉湖公园旁,7.6,甘州区,"香辣斑鱼,三鲜汤,涮鱼片",7,7.5,7.6,火锅,285.0,鲜尚轩,6.057
http://www.dianping.com/shop/9584596,15.0,清泉镇南大街人民医院西,7.6,山丹县其他,"花生水果蛋糕,白雪公主情景蛋糕,托马斯水果单层",7,7.6,7.5,面包/饮品,45.0,运利来蛋糕店,5.937
http://www.dianping.com/shop/9589275,43.0,民主西街7号,7.6,甘州区,"烤羊肉串,烤洋芋片,胡辣羊蹄",7,7.6,7.5,烧烤,11.0,刘大胡子烤肉王,5.916
http://www.dianping.com/shop/8983525,43.0,县府街国茂大厦正对面,7.6,甘州区,"茶树菇鸡煲,牛肉水饺,孜然烤馍",7,7.5,7.5,烧烤,420.0,巴爷鸡煲小吃火锅城·清真,5.782
http://www.dianping.com/shop/6453890,29.0,沙河镇县府街197号,7.6,临泽县其他,"蒸饼烤肉,鸡肉焖花卷,素三鲜",7,7.5,7.5,小吃面食,94.0,四坝蒸饼,5.571
http://www.dianping.com/shop/111615703,78.0,长寿街45-51号,7.6,甘州区,"羊羔肉,羊杂汤,大漠烤羊排",7,7.5,7.5,西北菜,52.0,鹏馨羊羔肉,5.544
http://www.dianping.com/shop/43667166,9.0,西环路315号,7.6,甘州区,"臊面,白菜肉包子,韭菜包子",7,7.5,7.3,小吃面食,45.0,和顺源,4.816
http://www.dianping.com/shop/19272053,19.0,民主西街中心广场南侧,7.5,甘州区,"椰汁紫米糕,芒果班戟,白雪黑糯米甜甜",7,7.5,7.5,面包/饮品,1451.0,香港甄典甜品屋,2.046
http://www.dianping.com/shop/48024523,25.0,洪水镇北环路延伸段新妇幼保健站向北50米,7.5,民乐县其他,"羊肉,精美培根,牛肉",7,7.6,7.6,烧烤,187.0,尚品烤,1.989
http://www.dianping.com/shop/56911463,44.0,杏林南路丽景名苑西门北侧,7.5,甘州区,"特色料碗,米家秘制盖碗茶,手打鲜羊肉丸子",7,7.6,7.6,火锅,107.0,清真米大姐涮羊肉(张掖店),1.937
http://www.dianping.com/shop/21555034,13.0,西大街362号，恒基小区西街小学向西20米,7.5,甘州区,"香辣鸡腿堡,劲辣椒香双层堡,薯条",7,7.5,7.5,小吃面食,1209.0,瑞仕堡(西街店),1.889
http://www.dianping.com/shop/23552476,11.0,青年西街110号,7.5,甘州区,"蜂蜜柚子茶,脆皮鸡块,鸡排",7,7.5,7.5,小吃面食,1023.0,豪大大香鸡排,1.769
http://www.dianping.com/shop/22513608,16.0,马神庙街225号,7.5,甘州区,"黄焖鸡,柠檬水,白饼",7,7.5,7.5,快餐简餐,944.0,腾宇记黄焖鸡米饭,1.718
http://www.dianping.com/shop/58562626,32.0,北环路880号,7.5,甘州区,"特色干锅,荤菜,特色排骨虾",7,7.5,7.6,火锅,363.0,龙记三回头小火锅,1.705
http://www.dianping.com/shop/69314595,15.0,青年西街154号,7.5,甘州区,"彩虹卡通蛋糕,水果巧克力,水果双层蛋糕",7,7.6,7.5,面包/饮品,194.0,好食光蛋糕世界,1.631
http://www.dianping.com/shop/27241728,53.0,龙泉花苑步行街,7.5,民乐县其他,"湘鸭锅,手切鲜牛肉,现宰梭边鱼",7,7.5,7.6,火锅,237.0,湘鸭村鱼跳墙火锅,1.623
http://www.dianping.com/shop/67312941,0.0,南大街火狐狸旁入口处20米右侧,7.5,甘州区,"辣够味麻辣烫,麻辣菜,荤菜",7,7.5,7.6,快餐简餐,0.0,辣够味麻辣烫,1.47
http://www.dianping.com/shop/21927597,11.0,北水桥街17号,7.5,甘州区,"鱼豆腐,荤菜,酸梅汤",7,7.5,7.5,快餐简餐,498.0,重庆味道王麻辣烫,1.43
http://www.dianping.com/shop/42941162,18.0,滨河新区颐景家园小区煨鸭仔新店楼下,7.5,甘州区,"牛肉,红枣茶,小菜",7,7.5,7.5,快餐简餐,385.0,马有財兰州牛肉拉面(张掖店),1.357
http://www.dianping.com/shop/23582639,17.0,民主西街广场南口向西200米，中国农业发展银行对面,7.5,甘州区,"肥肠炒米线,白饼,鸡蛋醪糟汤",7,7.5,7.5,快餐简餐,373.0,三丰鼎云南过桥米线,1.349
http://www.dianping.com/shop/4298613,20.0,西大街与西城巷交叉口,7.5,甘州区,"卤肉炒炮,卤肉排骨,生肉炒炮",7,7.5,7.5,快餐简餐,327.0,罗胖子面馆(西关店),1.319
http://www.dianping.com/shop/21822679,30.0,欧式街B段火车票代售点南50米路东,7.5,甘州区,"季节水果,瓜子,奶茶",7,7.5,7.5,咖啡厅,154.0,卡索酒吧,1.208
http://www.dianping.com/shop/4655315,31.0,西大街与县府街十字路口东南角,7.5,甘州区,"素炒炮,卤肉,荤炒炮",7,7.4,7.5,小吃面食,741.0,孙记炒炮,1.189
http://www.dianping.com/shop/59018934,35.0,龙首路50号,7.5,山丹县其他,"招牌鸭翅中,鸭爪,豆腐皮",7,7.5,7.5,火锅,108.0,鸭掌门特色火锅,1.178
http://www.dianping.com/shop/27473336,46.0,青年西街政府7号楼下,7.5,甘州区,"水果蛋糕,美味蛋糕,巧克力骑士",7,7.5,7.5,面包/饮品,67.0,AILI·爱的礼物(张掖青西街店),1.151
http://www.dianping.com/shop/67230587,30.0,发展大道滨河新区区法院北侧,7.5,甘州区,"烤鱼,毛血旺,红烧肉",7,7.5,7.5,其他美食,64.0,金座餐厅,1.149
http://www.dianping.com/shop/107151950,50.0,丹霞七彩镇丹霞公路青年都市迷你酒店东100米,7.5,丹霞国家地质公园,"丹霞辣子鸡,白灼菜心,萝卜牛肉",7,7.5,7.5,其他美食,19.0,好味道厨房,1.12
http://www.dianping.com/shop/66139456,35.0,滨河大道玉水苑北商业街,7.5,甘州区,"青海土火锅,韭菜豆芽水晶粉,酸辣夹沙",7,7.5,7.5,西北菜,9.0,丝路伊清饭店,1.114
http://www.dianping.com/shop/97104595,64.0,长寿街鑫汇5楼,7.5,甘州区,"北极贝刺身,黑椒炒饭,培根披萨",7,7.5,7.5,日本料理,6.0,西可米牛排铁板烧,1.112
http://www.dianping.com/shop/93782775,0.0,张火公路七九六小区南50米,7.5,甘州区,炒泡,7,7.5,7.5,快餐简餐,0.0,吾麦尔牛肉面,1.108
http://www.dianping.com/shop/97909216,0.0,县府南街30号,7.5,甘州区,"山东大鱿鱼,秘制大鸡胗,牛舌",7,7.5,7.5,火锅,0.0,清真·北家姓转转小火锅(祥和丽居店),1.108
